site_id,latitude,longitude
V10_CKI_U_1_1,-28.671716666666665,111.44078333333333
V10_CKI_U_1_2,-28.671716666666665,111.44078333333333
V10_CKI_U_1_3,-28.671716666666665,111.44078333333333
V10_CKI_U_1_4,-28.671716666666665,111.44078333333333
V10_CKI_U_1_5,-28.671716666666665,111.44078333333333
V10_CKI_N_1_1,-28.671716666666665,111.44078333333333
V10_CKI_N_1_2,-28.671716666666665,111.44078333333333
V10_CKI_N_1_3,-28.671716666666665,111.44078333333333
V10_CKI_N_1_4,-28.671716666666665,111.44078333333333
V10_CKI_N_1_5,-28.671716666666665,111.44078333333333
V10_CKI_U_2_1,-27.412766666666666,109.86903333333333
V10_CKI_U_2_2,-27.412766666666666,109.86903333333333
V10_CKI_U_2_3,-27.412766666666666,109.86903333333333
V10_CKI_U_2_4,-27.412766666666666,109.86903333333333
V10_CKI_U_2_5,-27.412766666666666,109.86903333333333
V10_CKI_N_2_1,-27.412766666666666,109.86903333333333
V10_CKI_N_2_2,-27.412766666666666,109.86903333333333
V10_CKI_N_2_3,-27.412766666666666,109.86903333333333
V10_CKI_N_2_4,-27.412766666666666,109.86903333333333
V10_CKI_N_2_5,-27.412766666666666,109.86903333333333
V10_CKI_N_3_1,-26.8176,109.1271
V10_CKI_N_3_2,-26.8176,109.1271
V10_CKI_N_3_3,-26.8176,109.1271
V10_CKI_N_3_4,-26.8176,109.1271
V10_CKI_N_3_5,-26.8176,109.1271
V10_CKI_N_H_4_3_1,-26.8176,109.1271
V10_CKI_N_H_4_3_2,-26.8176,109.1271
V10_CKI_N_H_4_3_3,-26.8176,109.1271
V10_CKI_N_H_2_3_1,-26.8176,109.1271
V10_CKI_N_H_2_3_2,-26.8176,109.1271
V10_CKI_N_H_2_3_3,-26.8176,109.1271
V10_CKI_U_4_1,-26.2433,108.43321666666667
V10_CKI_U_4_2,-26.2433,108.43321666666667
V10_CKI_U_4_3,-26.2433,108.43321666666667
V10_CKI_U_4_4,-26.2433,108.43321666666667
V10_CKI_U_4_5,-26.2433,108.43321666666667
V10_CKI_N_4_1,-26.2433,108.43321666666667
V10_CKI_N_4_2,-26.2433,108.43321666666667
V10_CKI_N_4_3,-26.2433,108.43321666666667
V10_CKI_N_4_4,-26.2433,108.43321666666667
V10_CKI_N_4_5,-26.2433,108.43321666666667
V10_CKI_U_5_1,-24.890733333333333,106.77843333333334
V10_CKI_U_5_2,-24.890733333333333,106.77843333333334
V10_CKI_U_5_3,-24.890733333333333,106.77843333333334
V10_CKI_U_5_4,-24.890733333333333,106.77843333333334
